,aerials_won,age,assists,avg_rating,bad_controls,blocks,clearances,country,crosses,dispossessed,dribbled_past,dribbles,first_eleven,fouled,fouls,goals,height_cm,interceptions,key_passes,long_balls,man_of_the_match,minutes_played,offsides,offsides_won,own_goals,pass_accuracy,passes,player_id,player_name,position,red_cards,shots,substituted_on,tackles,team,through_balls,weight_kg,yellow_cards
3707,1.1,30,2,7.01,1.3,0.0,0.4,cd,0.5,1.6,0.3,2.7,19,1.5,0.6,4,179,0.2,0.9,0.5,0,1619,0.0,0.0,0,74.2,23.1,27355,Jires Kembo-Ekoko,"M(LR),FW",1,1.5,5,0.5,Bursaspor,0.2,75,3
3708,2.0,31,1,6.96,1.3,0.7,3.7,sn,0.0,0.7,1.5,0.5,3,0.2,1.2,0,192,2.0,0.5,2.0,0,361,0.0,0.3,0,83.8,28.8,22108,Ricardo Faty,"D(C),DMC",0,0.5,3,2.5,Bursaspor,0.0,81,1
3709,2.7,25,0,6.94,1.1,0.2,1.9,ng,0.1,0.8,1.1,0.9,13,1.9,2.4,0,170,1.9,0.1,1.1,0,1147,0.0,0.1,0,80.6,43.8,143332,Abdullahi Shehu,DMC,0,0.2,1,4.1,Bursaspor,0.0,72,7
3710,1.1,26,0,6.93,1.6,0.1,0.5,gb,0.3,0.6,0.9,1.5,6,1.0,1.1,0,179,2.0,0.5,3.4,0,595,0.1,0.0,0,86.5,44.4,32817,John Bostock,DMC,0,1.1,2,2.5,Bursaspor,0.1,75,1
3711,0.8,25,1,6.84,1.0,0.2,1.8,tr,0.4,0.6,0.9,1.2,31,2.0,1.0,1,0,1.4,0.4,1.4,2,2500,0.1,0.3,0,74.3,29.0,239850,Baris Yardimci,"D(CR),M(R)",0,0.2,0,2.1,Bursaspor,0.1,0,3
3712,0.3,27,2,6.77,1.0,0.2,2.2,au,0.3,1.0,0.6,0.9,31,1.5,1.0,5,170,1.2,0.4,1.6,1,2788,0.2,0.4,0,77.2,35.6,83249,Aziz Behich,"D(L),M(L)",0,0.6,0,1.6,Bursaspor,0.0,63,7
3713,1.9,30,1,6.74,0.5,0.5,4.4,br,0.0,0.2,0.5,0.1,31,1.4,1.3,1,187,1.8,0.1,2.7,0,2783,0.0,0.6,0,78.8,43.9,27763,Titi,D(C),1,0.2,0,1.6,Bursaspor,0.0,83,7
3714,1.4,21,0,6.74,0.4,0.4,3.8,tr,0.0,0.3,0.4,0.1,18,0.5,0.7,2,187,0.7,0.1,3.7,0,1576,0.1,0.5,0,81.0,38.5,136471,Ertugrul Ersoy,D(CR),0,0.5,1,2.2,Bursaspor,0.0,75,6
3715,2.1,24,0,6.67,0.3,0.6,4.8,ng,0.0,0.2,0.5,0.2,26,0.3,0.6,2,191,1.3,0.0,3.3,0,2286,0.0,0.8,0,81.5,36.1,133400,William Troost-Ekong,D(C),1,0.7,1,0.9,Bursaspor,0.0,82,0
3716,0.8,31,2,6.61,2.0,0.0,0.2,ro,0.3,1.2,0.5,0.6,29,1.0,1.6,8,183,0.1,0.8,0.4,1,2531,0.3,0.0,0,74.9,16.6,25754,Bogdan Stancu,"AM(CL),FW",0,0.9,2,0.6,Bursaspor,0.1,75,1
3717,3.0,32,0,6.59,2.3,0.1,0.2,sn,0.1,0.5,0.3,0.0,7,1.0,0.5,4,180,0.3,0.4,0.2,0,635,0.7,0.0,1,73.7,12.5,19529,Moussa Sow,"M(LR),FW",0,0.9,4,0.5,Bursaspor,0.0,76,2
